HANDLE,BLOCKNAME,EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION,DWG,DATE,NO._OF_CCT'S,PREVIOUS_ID,EQUIP-DESIG.,EQUIP-LOC,FUSE_INPACITY,FUSE_INPACITY1,MOTOR-HP,EQUIP-ID,EQUIP-LOCATION1,EQUIP-PROPERTIES1
'1FF185,*U126,STSDP02-R-X25/27/29,         ST133,200AR/200AT  120/208V   3PH 3W,STSDP02,         ST133,STPPB,       STWESTCORR,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF148,*U126,STSDP02-R-X19/21/23,         ST133,200AR/200AT  120/208V   3PH 3W,STSDP02,         ST133,STPPA,         ST153,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF10B,*U126,STSDP02-R-X13/15/17,         ST133,200AR/200AT  120/208V   3PH 3W,STSDP02,         ST133,STPPF,         ST135,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF0CE,*U126,STSDP02-R-X7/9/11,         ST133,150AR/150AT  120/208V   3PH 3W,STSDP02,         ST133,STPPH,         ST143,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF091,*U126,STSDP02-R-X2/4/6,         ST133,100AR/100AT  120/208V   3PH 3W,STSDP02,         ST133,STPPM,         ST133,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF054,*U126,STSDP02-L-X27/29/31,         ST133,150AR/150AT  120/208V   3PH 3W,STSDP02,         ST133,STPPC,      STEASTCORR,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FF017,*U126,STSDP02-L-X13/15/17,         ST133,60AR/60AT  120/208V   3PH 3W,STSDP02,         ST133,STPPL,         ST148A,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FEFDA,*U126,STSDP02-L-X7/9/11,         ST133,60AR/60AT  120/208V   3PH 3W,STSDP02,         ST133,STPPJ,         ST147,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FE76C,*U126,STSDP02-L-X2/4/6,         ST133,60AR/60AT  120/208V   3PH 3W,STSDP02,         ST133,STPPD,         ST115,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'1FE330,*U128,DLP01,D1022,200AR/100AT 600V/3PH/4W,DMB42,D1022,MULTI FEEDS SEE LEGEND,,DWG. D ELEC SLD,03/28/2011,# CCT:N/A,PREV. ID: (1D0),,,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
