EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22-BKR01,C2017,90AR/AT120/208V/3PH/4W
CPP22-BKR02,C2017,70AR/AT120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CTR08(SS),C2017,45KvA/600>120/208V/3PH/4W
CPP21-BKR01,C2017,50AR/AT347/600V/3PH/3W
CPP21,C2017,225AR/90AT600V/3PH/3W
LONDONHYDRO,CBUILDING,600V3P/4W
DEP07,D1001-3,400AR/200AF120/208V/3PH/4W
DEP06,D1001-3,200AR/AF120/208V/3PH/4W
DPP21,D1004-1,225AR/100AF120/208V/3PH/4W
DBD01-DIS21,D1004-1,100AR/AF120/208V/3PH/4W
DBD01-DIS20,D1004-1,100AR/AF120/208V/3PH/4W
DPP20,D1004-EL,225AR/100AF120/208V/3PH/4W
DPP22,D1010,225AR/100AF120/208V/3PH/4W
DBD01-DIS22,D1010,100AR/AF120/208V/3PH/4W
DBD01-DIS23,D1010-2,100AR/AF120/208V/3PH/4W
DPP23,D1011,225AR/100AF120/208V/3PH/4W
DBD01-DIS24,D1013,200AR/AF120/208V/3PH/4W
DPP24,D1014-C,200AR/AF120/208V/3PH/4W
DPP28,D1016,100AR/AF120/208V/3PH/4W
DBD01-DIS29,D1016,100AR/AF120/208V/3PH/4W
DBD01-DIS28,D1016,100AR/AF120/208V/3PH/4W
DBD01-DIS27,D1016,100AR/AF120/208V/3PH/4W
DPP27,D1016-EL,225AR/100AF120/208V/3PH/4W
DLP10,D1016-EL,100AR/AF347/600V/3PH/4W
DLP09,D1016-EL,100AR/AF347/600V/3PH/4W
ELEVATOR_D1019-1_LD,D1019-1,42A/575V/90PF/3460rpm/78.5%eff
ELEVATOR_D1019-1_LD,D1019-1,42A/575V/90PF/3460rpm/78.5%eff
ELEVATOR_D1019-1_LD,D1019-1,42A/575V/90PF/3460rpm/78.5%eff
DELEVSDIS01,D1019-1,100AR/70AF/600V/3PH/3W
DPP07,D1021,100AR/100AF120/208V/3PH/4W
DPP12,D1021-2,100AR/60AF120/208V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DMB08,D1022,200A600V/3PH/4W
DEDP04-06,D1022,100A/600V/3PH/4W
DEDP04-05,D1022,100A/600V/3PH/4W
DEDP04-04,D1022,100A/600V/3PH/4W
DEDP04-02,D1022,200A/600V/3PH/4W
DEDP04-01,D1022,200A/600V/3PH/4W
DDIS11,D1022,100AR/30AF120/208V/3PH/4W
DMB37,D1022,1000AR/800AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DMB48,D1022,250AR/200AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DMB02,D1022,2000AR/AT347/600V/3PH/4W
DMB21,D1022,400AR/AT347/600V/3PH/4W
DMB19,D1022,800AR/AT347/600V/3PH/4W
DMB74,D1022,100AR/AT347/600V/3PH/4W
DMB73,D1022,70AR/AT347/600V/3PH/4W
DMB71,D1022,70AR/AT347/600V/3PH/4W
DMB63,D1022,100AR/AT600V/3PH/4W
DMB61,D1022,60AR/AT600V/3PH/4W
C_BLDG_EMERG_FEED,D1022,60AR/AT347/600V/3PH/4W
D_BLDG_EMERG_FEED,D1022,200AR/AT347/600V/3PH/4W
H&K_BLDG_EMERG_FEED,D1022,100AR/AT347/600V/3PH/4W
G_BLDG_EMERG_FEED,D1022,100AR/AT347/600V/3PH/4W
B_BLDG_EMERG_FEED,D1022,100AR/AT347/600V/3PH/4W
DGENMB01,D1022,600A/600V/3PH/4W
DGENMB01,D1022,600AR/AT/600V/3PH/4W
DGEN01,D1022,600A/600V/3PH/4W
DDIS12,D1022,60AR/AF120/208V/3PH/4W
DDIS10,D1022,100AR/AF120/208V/3PH/4W
DDIS07,D1022,100AR/40AF120/208V/3PH/4W
DDIS06,D1022,100AR/80AF120/208V/3PH/4W
DDIS05,D1022,100AR/70AF120/208V/3PH/4W
DPP04,D1022,225AR/200AF120/208V/3PH/4W
DDIS04,D1022,200AR/150AF120/208V/3PH/4W
DDIS03,D1022,200AR/AF120/208V/3PH/4W
DDIS01,D1022,200AR/AF120/208V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DTR01,D1022,225kVA/600>120/208V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP02,D1022,100AR/AT347/600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DMB50,D1022,200AR/100AT600V/3PH/4W
DMB49,D1022,100AR/AT600V/3PH/4W
DMB47,D1022,1000AR/AT600V/3PH/4W
DMB42,D1022,100AR/AT600V/3PH/4W
DMB31,D1022,400AR/AT600V/3PH/4W
DMB18,D1022,250AR/200AT347/600V/3PH/4W
DMB14,D1022,100AR/AT347/600V/3PH/4W
DMB11,D1022,400AR/AT347/600V/3PH/4W
DMB09,D1022,200AR/AT347/600V/3PH/4W
DMB01,D1022,5000AR/4000AT347/600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DLP01,D1022,200AR/100AT600V/3PH/4W
DDIS15,D1022-E,400AR/AF347/600V/3PH/4W
DPP03#2,D1024,225AR/200AF120/208V/3PH/4W
DPP03#1,D1024,225AR/200AF120/208V/3PH/4W
DDIS75,D1025-ROOF,60AR/50AF347/600V/3PH/4W
DPP15,D1026,225AR120/208V/3PH/4W
DPP01,D1026,225AR/200AF120/208V/3PH/4W
DDIS17,D1026-MEZZ,100AR/40AF600V/3P/4W
DDIS-16/19/20,D1026-MEZZ,100AR/20AF600V/3P/4W
DTR07,D1026-MEZZ,75KVA/600/120/208V/3PH/4W
DDIS18,D1026-MEZZ,100AR/AF600V/3PH/4W
DTR09,D1027-1,45kVA600>120/208V/3PH/4W
DPP13,D1027-1,225AR/100AF120/208V/3PH/4W
DPP10,D1027-1,225AR120/208V/3PH/4W
DPP05,D1027-2,100AR/70AF120/208V/3PH/4W
DPP14,D1028,225AR/200AF120/208V/3PH/4W
DDIS14,D1028-MEZZ,200AR/AF/3PH/4W
DTR08,D1028-MEZZ,75KVA/600>120/208V/3PH/4W
DPP29,D1029-1,100AR/AF120V/3PH/4W
DPP30#2,D1029-EL,225AR/100AF120/208V/3PH/4W
DPP30#1,D1029-EL,225AR/100AF120/208V/3PH/4W
DLP03,D1029-EL,100AR/80AF347/600V/3PH/4W
DPP32#2,D1031,225AR/150AF120/208V/3PH/4W
DPP32#1,D1031,225AR/150AF120/208V/3PH/4W
DSDP07-DIS10,D1031-EL,200AR/150AF120/208/3PH/4W
DSDP07-DIS09,D1031-EL,200AR/150AF120/208/3PH/4W
DSDP07-DIS07,D1031-EL,200AR/AF120/208/3PH/4W
DSDP07-DIS06,D1031-EL,100AR/AF120/208/3PH/4W
DSDP07-DIS05,D1031-EL,100AR/AF120/208/3PH/4W
DSDP07-DIS04,D1031-EL,100AR/80AF120/208/3PH/4W
DSDP07-DIS03,D1031-EL,100AR/AF120/208/3PH/4W
DSDP07-DIS02,D1031-EL,60AR/60AF120/208/3PH/4W
DSDP07-DIS01,D1031-EL,60AR/50AF120/208/3PH/4W
DPP34,D1036,225AR/60AF120/208V/3PH/4W
DPP35,D1037,225AR/80AF120/208V/3PH/4W
DPP36,D1039,225AR/150AF120/208V/3PH/4W
DPP33,D1042-1,225AR/100AF120/208V/3PH/4W
DLP20,D1042-E,100AR/AT347/600V/3PH/4W
DPP37,D1042-EL,225AR/100AF120/208V/3PH/4W
DEP05,D1043-1,60AR120/208V/3PH/4W
DTR12,D1043-1,15kVA/600>120/208V/3PH/4W
DPP39,D1045-1,225AR/AMB120/208V/3PH/4W
DEP01,D1045-2,200AR/AF120/208V/3PH/4W
DEP02,D1045-4,225AR/AF120/208V/3PH/4W
DPP40,D1047,225AR/100AF120/208V/3PH/4W
DBD06-DIS41,D1047,200AR/AF120/208V/3PH/4W
DBD06-DIS40,D1047,100AR/AF120/208V/3PH/4W
DPP200,D1047-2,250AR/100AF347/600V/3PH/4W
DDIS99,D1047-2,60AR/AF120/220V/2PH/3W
DDIS98,D1047-2,60AR/AF120/220V/2PH/3W
DTR11,D1047-2,15kVA208>120/220V/2PH/2W
DTR10,D1047-2,15kVA208>120/220V/2PH/3W
DDIS97,D1047-2,100AR/AF120/208V/2PH/2W
DDIS96,D1047-2,60AR/AF120/208V/2PH/3W
DDIS95,D1047-2,100AR/AF120/208V/3PH/4W
DPP41,D1048,60AR/60AF120/208V/3PH/4W
DPP47,D1049,100AR/50AF120/208V/3PH/4W
DBD06-DIS45,D1051,200AR/AF120/208V/3PH/4W
DBD06-DIS43,D1051,60AR/AF120/208V/3PH/4W
DPP44,D1051,60AR/AF120/208V/3PH/4W
DLP06,D1051-E,150AR/AF347/600V/3PH/4W
DPP42,D1051-EL,100AR/100AF120/208V/3PH/4W
DPP43,D1051-EL,100AR/60AF120/208V/3PH/4W
DPP54,D1052-EL,225AR/80AF120/208V/3PH/4W
DEP03,D1055,200AR/AF120/208V/3PH/4W
DBD06-DIS48,D1055,200AR/AF120/208V/3PH/4W
DBD06-DIS47,D1055,60AR/50AF120/208V/3PH/4W
DBD06-DIS46,D1055,200AR/AF120/208V/3PH/4W
DPP48,D1057,225AR/200AF120/208V/3PH/4W
DPP49,D1057,225AR/60AF120/208V/3PH/4W
DPP51,D1058,225AR/60AF120/208V/3PH/4W
DPP50,D1059,225AR/200AF120/208V/3PH/4W
DBD06-DIS50,D1059,200AR/AF120/208V/3PH/4W
DPP92,D1060-3,100AR/60AT120/208V/3PH/4W
DPP90-CCT44/46/48,D1060-3,60AR/AT120/208V/3PH/4W
DPP90,D1060-3,225AR/200AF120/208V/3PH/4W
DBD06-DIS51,D1061,60AR/AF120/208V/3PH/4W
DPP59,D1062-EL,225AR/200AF120/208V/3PH/4W
DPP58,D1062-EL,225AR/200AF120/208V/3PH/4W
DBD06-DIS55,D1063-2,200AR/AF120/208V/3PH/4W
DBD06-DIS55,D1063-2,200AR/AF120/208V/3PH/4W
DBD06-DIS55,D1063-2,200AR/AF120/208V/3PH/4W
DBD06-DIS54,D1063-2,100AR/80AF120/208V/3PH/4W
DPP45,D1070,150AR/AT120/208V/3PH/4W
DPP63,D2001,250AR/100AF120/208V/3PH/4W
DPP62,D2001,250AR/100AF120/208V/3PH/4W
DPP61,D2001,250AR/100AF120/208V/3PH/4W
DBD02-DIS63,D2001,100AR/AF120/208V/3PH/4W
DBD02-DIS62,D2001,100AR/AF120/208V/3PH/4W
DBD02-DIS61,D2001,100AR/AF120/208V/3PH/4W
DBD02-DIS60,D2001,100AR/AF120/208V/3PH/4W
DEP04,D2001-11,400AR/350AF120/208V/3PH/4W
DEP10,D2001-11,400AR/300AF/AF277/480V/3PH/4W
DPP60,D2001-EL,225AR/AF120/208V/3PH/4W
DPP64,D2003-1,250AR/60AF120/208V/3PH/4W
DBD02-DIS64,D2003-1,60AR/AF120/208V/3PH/4W
DPP66,D2004-1,250AR/60AF120/208V/3PH/4W
DBD02-DIS66,D2004-1,100AR/60AF120/208V/3PH/4W
DPP67,D2005,250AR/100AF120/208V/3PH/4W
DBD02-DIS68,D2005,100AR/60AF120/208V/3PH/4W
DBD02-DIS67,D2005,100AR/AF120/208V/3PH/4W
DPP71,D2007,250AR/100AF120/208V/3PH/4W
DBD04-DIS71,D2007,100AR/AF120/208V/3PH/4W
DPP68,D2007-EL,100AR/60AF120/208V/3PH/4W
DPP72,D2008,250AR/100AF120/208V/3PH/4W
DBD04-DIS72,D2008,100AR/AF120/208V/3PH/4W
DBD04-DIS70,D2008,100AR/AF120/208V/3PH/4W
DPP70,D2009-EL,225AR/100AF120/208V/3PH/4W
DLP04,D2009-EL,100AR/AF347/600V/3PH/4W
DPP73,D2012,250AR/100AF120/208V/3PH/4W
DBD04-DIS73,D2012,100AR/AF120/208V/3PH/4W
DPP74,D2016,225AR/200AF120/208V/3PH/4W
DBD04-DIS74,D2016,200AR/AF120/208V/3PH/4W
DBD04-DIS175,D2016-1,200AR/150AF120/208V/3PH/4W
DLP21,D2016-EL,100AR/70AT600V/3PH/3W
"DLP21-14,16,18",D2016-EL,30AR/AT347/600V/3PH/4W
DLP21-7/9/11,D2016-EL,20AR/AT347/600V/3PH/4W
DPP75,D2016-EL,225AR/150AF120/208V/3PH/4W
EDIS101,D2018-EL,100A/600V/3PH/4W
DPP80,D2020,100AR/60AF120/208V/3PH/4W
DBD07-DIS80,D2020,60AR/AF120/208V/3PH/4W
DPP81,D2021,100AR/AF120/208V/3PH/4W
DBD07-DIS82,D2021,100AR/AF120/208V/3PH/4W
DBD07-DIS81,D2021,100AR/AF120/208V/3PH/4W
DLP07,D2024-E,100AR/70AF347/600V/3PH/4W
DPP82,D2024-EL,225AR/100AF120/208V/3PH/4W
DBD07-DIS89,D2025-1,60AR/AF120/208V/3PH/4W
DPP83,D2029,250AR/100AF120/208V/3PH/4W
DBD07-DIS83,D2029,100AR/AF120/208V/3PH/4W
DPP84,D2033-1,250AR/100AF120/208V/3PH/4W
DBD07-DIS84,D2033-1,100AR/AF120/208V/3PH/4W
DBD07-DIS86,D2034,200AR/150AF120/208V/3PH/4W
DBD07-DIS85,D2034,100AR/AF120/208V/3PH/4W
DPP86,D2034-EL,225AR/150AF120/208V/3PH/4W
DPP85,D2034-EL,225AR/100AF120/208V/3PH/4W
DBD07-DIS93,D2035,200AR/AF120/208V/3PH/4W
DPP94,D2035-1,225AR/90AT120/208V/3PH/4W
DPP93-CCT1/3/5,D2035-1,90AR/AT120/208V/3PH/4W
DPP93,D2035-1,225AR/200AF120/208V/3PH/4W
DBD07-DIS90,D2035-1,200AR/AF120/208V/3PH/4W
EDIS102,D2036-1,100A/600V/3PH/4W
DPP89,D2037,100AR/60AF120/208V/3PH/4W
DHP33,D2040,100A347/600V/3P/4W
DHP33,D2040,36.8A/575V/1775rpm/94.5%eff/86PF
DHP34,D2040,36.8A/575V/1775rpm/94.5%eff/86PF
DDIS_GC,D2040,100AR/AF347/600V/3PH/4W
DDIS_HP33,D2040,80AR/AF347/600V/3PH/4W
DDIS_HP34,D2040,80AR/AF347/600V/3PH/4W
DHTG_PUMP01_LD,D2040,50.5A/575V/1760rpm/90.2%eff/83PF
DCWP36_LD,D2040,46A/575V/94.1%eff
DCWP35_LD,D2040,46A/575V/94.1%eff
DCT-01,D2040,100A/600V/3PH/4W
DCWP36,D2040,100A/600V/3PH/4W
D_COND_P100_BRK,D2040,60AR/AT347/600V/3PH/4W
D_COND_P99_BRK,D2040,60AR/AT347/600V/3PH/4W
DCWP35,D2040,100A/600V/3PH/4W
D_COND_P98_BRK,D2040,60AR/AT347/600V/3PH/4W
DDIS100,D2040,400AR/AF347/600V/3PH/4W
DDIS101,D2040,400AR/AF347/600V/3PH/4W
DPP06,D2040,100AR/100AF120/208V/3PH/4W
DDIS201,D2040,200AR/AF347/600V/3PH/4W
DHTG_PUMP01,D2040,100AR/AF347/600V/3PH/4W
DPP104,D3002-EL,250AR/100AF120/208V/3PH/4W
DPP103,D3002-EL,250AR/100AF120/208V/3PH/4W
DLP11,D3002-EL,100AR/80AF347/600V/3PH/4W
DBD03-DIS103,D3005,100AR/AF120/208V/3PH/4W
DBD03-DIS100,D3005,100AR/60AF120/208V/3PH/4W
DPP100,D3005-EL,250AR/60AF120/208V/3PH/4W
DPP101,D3005-EL,250AR/60AF120/208V/3PH/4W
DPP105,D3007,225AR/150AF120/208V/3PH/4W
DBD05-DIS106,D3009,100AR/AF120/208V/3PH/4W
DBD05-DIS105,D3009,200AR/150AF120/208V/3PH/4W
DPP106,D3009-EL,225AR/100AF120/208V/3PH/4W
DLP05,D3009-EL,100AR/80AF347/600V/3PH/4W
DPP108,D3014,225AR/150AF120/208V/3PH/4W
DBD05-DIS108,D3014,200AR/150AF120/208/3PH/4W
DBD05-DIS111,D3015-1,60AR/AF120/208/3PH/4W
DBD05-DIS110,D3015-1,60AR/AF120/208/3PH/4W
DLP24,D3015-E,100AR/70AT347/600V/3PH/4W
DLP24-13/15,D3015-EL,30AR/AT347/600V/3PH/4W
DLP24-14/16/18,D3015-EL,20AR/AT347/600V/3PH/4W
DPP110,D3015-EL,225AR/60AF120/208V/3PH/4W
DEP09,D3016,100AR120/208V/3PH/4W
DTR32,D3016,10kVA/600>120/208V/3PH/4W
DPP111,D3017,225AR/60AF120/208V/3PH/4W
DBD08-DIS113,D3018,100AR/80AF120/208V/3PH/4W
DBD08-DIS115,D3018-10,100AR/80AF120/208V/3PH/4W
DPP114,D3018-EL,250AR/80AF120/208V/3PH/4W
DPP113,D3018-EL,250AR/80AF120/208V/3PH/4W
DLP08,D3024-EL,100AR/80AF347/600V/3PH/4W
DPP116,D3024-EL,250AR/80AF120/208V/3PH/4W
DPP115,D3024-EL,250AR/80AF120/208V/3PH/4W
DDIS74,D4003,30AR/30AF347/600V/3PH/4W
DDIS200,D4003,100AR/AF347/600V/3PH/3W
DTR03,D4003,450kVA600>120/208V/3PH/4W
DMB92,D4003,1600AR/500AT347/600V/3PH/3W
DDIS51,D4003,200AR/150AF347/600V/3PH/4W
DDIS50,D4003,400AR/300AF347/600V/3PH/4W
DDIS57,D4003,200AR/AF347/600V/3PH/3W
DDIS56,D4003,100AR/AF347/600V/3PH/3W
DDIS55,D4003,100AR/70AF347/600V/3PH/4W
DDIS53,D4003,80AR/AF347/600V/3PH/4W
DDIS52,D4003,200AR/AF347/600V/3PH/4W
DPP129,D4003,100AR/AMB120/208V/3PH/4W
DDIS71,D4003,225AR/AF120/208V/3PH/4W
DDIS69,D4003,200AR/AF120/208V/3PH/4W
DDIS67,D4003,100AR/AF120/208V/3PH/4W
DDIS64,D4003,600AR/AF120/208V/3PH/4W
DDIS63,D4003,400AR/AF120/208V/3PH/4W
DDIS60,D4003,60AR/AF120/208V/3PH/4W
DDIS62,D4003,200AR/AF120/208V/3PH/4W
DPP130,D4005,225AR/60AF120/208V/3PH/4W
DPP125,D4009,100AR/AF120/208V/3PH/4W
DSDP02-DIS22,D4009,400AR/225AF120/208/3PH/4W
DSDP02-DIS21,D4009,400AR/AF120/208/3PH/4W
DSDP02-DIS19,D4009,100AR/AF120/208/3PH/4W
DSDP02-DIS11,D4009,600AR/AF120/208/3PH/4W
DMB90,D4009,1600AR/800AT347/600V/3PH/4W
DSDP01-EDIS01,D4009,800AR/AF347/600V/3PH/4W
DSDP01-DIS08,D4009,400AR/300AF347/600V/3PH/4W
DSDP01-DIS06,D4009,100AR/AF347/600V/3PH/4W
DSDP01-DIS05,D4009,100AR/80AF347/600V/3PH/4W
DSDP01-DIS04,D4009,200AR/100AF347/600V/3PH/4W
DSDP01-DIS01,D4009,100AR/80AF347/600V/3PH/4W
DTR02,D4009,300kVA600>120/208V/3PH/4W
DMB91,D4009,1600AR/600AT347/600V/3PH/4W
DMB05,D4011,600AR/AT347/600V/3PH/4W
D_MAIN_AC,D4011,100A/600V/3PH/4W
DAC01_HD01,D4011,30A/600V/3PH/4W
DAC02,D4016,100A/347/600V/3PH/4W
DSDP05-DIS07,D4016,100AR/80AF347/600V/3PH/4W
DPP120,D4016,100AR/AF120/208V/3PH/4W
DPP120,D4016,100AR/AF120/208V/3PH/4W
DPP120,D4016,100AR/AF120/208V/3PH/4W
DPP120,D4016,100AR/AF120/208V/3PH/4W
DSDP06-DIS301,D4016,400AR/350AF120/208V/3PH/4W
DSDP06-DIS17,D4016,400AR/225AF120/208V/3PH/4W
DSDP06-DIS16,D4016,400AR/225AF120/208V/3PH/4W
DSDP06-DIS13,D4016,100AR/AF120/208V/3PH/4W
DSDP06-DIS010,D4016,400AR/AF120/208V/3PH/4W
DSDP06-DIS07,D4016,200AR/AF120/208V/3PH/4W
DSDP06-DIS08,D4016,200AR/AF120/208V/3PH/4W
DTR04,D4016,300kVA600>120/208V/3PH/4W
DTR33,D4016,225kVA600>480V/3PH/4W
DMCC02,D4016,200AR/AF347/600V/3PH/4W
DSDP05-DIS06,D4016,100AR/80AF347/600V/3PH/4W
DSDP05-DIS05,D4016,100AR/AF347/600V/3PH/4W
DSDP05-DIS04,D4016,100AR/AF347/600V/3PH/4W
DSDP05-DIS03,D4016,400AR/300AF347/600V/3PH/4W
DSDP05-DIS01,D4016,200AR/AF347/600V/3PH/4W
DMB100,D4016,1600AR/400AT347/600V/3PH/4W
DPP31,DSUBCOURTYARD,60AR/50AF120/208V/3PH/4W
DSUBSTATIONTRANS.,DSUBSTATION,2500kVA27600V>600V/3PH/4W
DMAINHVSWITCH,DSUBSTATION,600AR/100AF27600V/3PH/3W
EPP08,E1003,225AR/150AF/120/208V/3PH/4W
EPP07,E1004,225AR/150AF/120/208V/3PH/4W
EDIS112,E1011,60A/600V/3PH/3W
EPP11,E1012-1,225AR/200AF/120/208V/3PH/4W
EPP06,E1012-5,225AR/150AF/120/208V/3PH/4W
EDIS92,E1012-5,200AR/AF/120/208V/3PH/4W
EPP06-CCT28/30/32,E1012-5,50AR/AT/120/208V/3PH/4W
EDIS95,E1012-5,200AR/150AF/120/208V/3PH/4W
EDIS94,E1012-5,200AR/150AF/120/208V/3PH/4W
EDIS93,E1012-5,200AR/150AF/120/208V/3PH/4W
ELP02,E1012-5,225AR/100AF/347/600V/3PH/4W
EDIS109,E1012-5,100AR/70AF/600V/3PH/3W
ETR02,E1012-5,225KvA/600V>120/208V/3PH/4W
EPP23,E1012-6,100AR/50AT/120/208V/3PH/4W
EPP04,E2005-C,225AR/150AT/120/208V/3PH/4W
EPP03,E2005-C,225AR/150AT/120/208V/3PH/4W
EPP22,E2015-C,225AR/60AF/120/208V/3PH/4W
EPP02,E2015-C,225AR/150AT/120/208V/3PH/4W
EPP09,E2015-C,225AR/150AT/120/208V/3PH/4W
EPP01,E2015-C,225AR/150AT/120/208V/3PH/4W
ELP01,E2015-E,225AR/150AF/347/600V/3PH/4W
EPP10,E2020,225AR/60AT/120/208V/3PH/4W
EDIS99,E3001,100A/600V/3PH/4W
EMS13,E3001,100A/600V/3PH/4W
EPP05,E3001,225AR/150AT/120/208V/3PH/4W
EPP17,E3001,225AR/60AF/120/208V/3PH/4W
EDIS25,E3001,60AR/AF/120/208V/3PH/4W
EDIS27,E3001,60AR/AF/120/208V/3PH/4W
EDIS29,E3001,60AR/AF/120/208V/3PH/4W
EDIS51,E3001,200AR/150AF/120/208V/3PH/4W
EDIS50,E3001,200AR/150AF/120/208V/3PH/4W
EDIS49,E3001,200AR/150AF/120/208V/3PH/4W
EDIS48,E3001,200AR/150AF/120/208V/3PH/4W
EDIS47,E3001,200AR/150AF/120/208V/3PH/4W
EDIS46,E3001,200AR/150AF/120/208V/3PH/4W
ETR01,E3001,225KvA/600V>120/208V/3PH/4W
EDIS08,E3001,200AR/100AF/347/600V/3PH/4W
EDIS06,E3001,200AR/150AF/347/600V/3PH/4W
EDIS05,E3001,200AR/175AF/600V/3PH/3W
EDIS04,E3001,400AR/250AF/600V/3PH/3W
EDIS03,E3001,400AR/250AF/600V/3PH/3W
EDIS02,E3001,800AR/AF347/600V/3PH/4W
FPP20,F1002,100AR/AT/120/208V/3PH/4W
FPP07,F1002-5,225AR/200AT/120/208V/3PH/4W
FPP12,F1012-4,225AR/150AT/120/208V/3PH/4W
FPP11,F1012-4,225AR/150AT/120/208V/3PH/4W
